original_index,vdc1,vdc2,idc1,idc2,irr,pvt,f_nv
1202476,0.4589,0.5267,0.1069,0.0345,1.0786,11.1457,0
1202477,0.4546,0.529,0.1036,0.0355,0.998,11.1457,0
1202478,0.4591,0.5268,0.1112,0.035,1.0619,11.1436,0
1202479,0.4713,0.5425,0.1084,0.0357,1.1179,11.1419,0
1202480,0.4637,0.5354,0.105,0.0335,1.0902,11.1419,0
1202481,0.4679,0.5429,0.1083,0.0345,1.055,11.1397,0
1202482,0.4547,0.5326,0.1087,0.0307,1.0887,11.1397,0
1202483,0.4737,0.5508,0.1121,0.0347,1.2971,11.1363,0
1202484,0.4642,0.5371,0.1062,0.0342,1.2232,11.1357,0
1202485,0.4657,0.5444,0.11,0.0331,1.1587,11.1357,0
1202486,0.4565,0.5325,0.1108,0.034,1.4054,11.1335,0
1202487,0.472,0.5466,0.1138,0.036,1.3637,11.1291,0
1202488,0.4784,0.5441,0.1105,0.0324,1.4099,11.1291,0
1202489,0.4786,0.5463,0.1057,0.034,1.236,11.1362,0
1202490,0.4599,0.5322,0.1091,0.0329,1.2262,11.1362,0
1202491,0.4714,0.5336,0.1118,0.0336,0.9653,11.1292,0
1202492,0.48,0.5499,0.1045,0.0337,1.0972,11.1245,0
1202493,0.4887,0.5579,0.1078,0.0358,1.1979,11.1245,0
1202494,0.4699,0.5392,0.1076,0.035,1.296,11.1226,0
1202495,0.4611,0.5311,0.1077,0.0341,1.4028,11.1184,0
1202496,0.4605,0.5372,0.1057,0.0317,1.371,11.1184,0
1202497,0.4728,0.5548,0.1044,0.0366,1.2437,11.1142,0
1202498,0.4681,0.5406,0.1129,0.0335,1.0801,11.1142,0
1202499,0.4637,0.5343,0.1102,0.0352,1.2611,11.1112,0
1202500,0.4618,0.5292,0.1064,0.0365,1.2138,11.1176,0
1202501,0.4765,0.5443,0.1041,0.035,1.2392,11.1176,0
1202502,0.4646,0.5396,0.1107,0.0351,1.2306,11.1209,0
1202503,0.46,0.5332,0.1077,0.0358,1.2382,11.1237,0
1202504,0.4589,0.5419,0.1065,0.0335,1.4405,11.1237,0
1202505,0.4712,0.5395,0.1059,0.035,1.1873,11.13,0
1202506,0.4619,0.5292,0.1089,0.0371,1.2732,11.13,0
1202507,0.4691,0.538,0.1087,0.0348,1.2342,11.1359,0
1202508,0.4629,0.5405,0.1051,0.0333,1.3067,11.1373,0
1202509,0.4606,0.5307,0.1061,0.0347,1.0979,11.1373,0
1202510,0.4579,0.5316,0.1079,0.0376,1.3481,11.1351,0
1202511,0.4776,0.5507,0.1076,0.0359,1.349,11.1351,0
1202512,0.4671,0.5521,0.1039,0.0361,1.4942,11.1347,0
1202513,0.4611,0.5354,0.107,0.0348,1.4397,11.1361,0
1202514,0.4554,0.53,0.1078,0.0329,1.3613,11.1361,0
1202515,0.4677,0.5442,0.1027,0.0347,1.3624,11.1374,0
1202516,0.4699,0.5342,0.1049,0.0332,1.4191,11.1389,0
1202517,0.4657,0.5399,0.1056,0.0347,1.2765,11.1389,0
1202518,0.4669,0.5349,0.1082,0.0367,1.3474,11.1325,0
1202519,0.4616,0.5434,0.1094,0.0348,1.4404,11.1325,0
1202520,0.4677,0.5428,0.1065,0.0362,1.461,11.1217,0
1202521,0.4758,0.5435,0.1121,0.0372,1.3773,11.1223,0
1202522,0.4602,0.5359,0.1124,0.0344,1.2622,11.1223,0
1202523,0.4636,0.5278,0.1063,0.0378,1.1955,11.1287,0
1202524,0.4755,0.5448,0.1058,0.0343,1.2787,11.1308,0
1202525,0.4633,0.5408,0.111,0.0362,1.2221,11.1308,0
1202526,0.4708,0.541,0.1096,0.0338,1.371,11.1358,0
1202527,0.4598,0.5272,0.1085,0.036,1.5581,11.1358,0
1202528,0.4662,0.5412,0.104,0.0343,1.5137,11.1336,0
1202529,0.4702,0.5426,0.111,0.0338,1.4673,11.1343,0
1202530,0.4569,0.5365,0.1132,0.0331,1.2078,11.1343,0
1202531,0.4651,0.5365,0.1083,0.0332,1.139,11.1342,0
1202532,0.4684,0.5492,0.1046,0.0363,1.2713,11.1344,0
1202533,0.4706,0.5441,0.1097,0.0362,1.2138,11.1344,0
1202534,0.4583,0.5363,0.1114,0.0354,0.9469,11.134,0
1202535,0.4683,0.5499,0.1008,0.0336,0.9303,11.134,0
1202536,0.4723,0.5422,0.1066,0.0358,1.0907,11.1354,0
1202537,0.4684,0.5377,0.1085,0.0373,1.0991,11.1348,0
1202538,0.4616,0.5358,0.1095,0.0339,1.2622,11.1348,0
1202539,0.4591,0.5399,0.1062,0.0357,1.3803,11.1351,0
1202540,0.4695,0.5463,0.1041,0.0336,1.3212,11.1333,0
1202541,0.4628,0.5354,0.1106,0.0362,1.4499,11.1333,0
1202542,0.4637,0.5276,0.1084,0.0343,1.2612,11.1348,0
1202543,0.4607,0.5241,0.1039,0.0347,1.4332,11.1348,0
1202544,0.471,0.55,0.1036,0.035,1.221,11.137,0
1202545,0.4657,0.546,0.1109,0.0358,1.2397,11.1307,0
1202546,0.4553,0.5358,0.1073,0.0368,1.335,11.1307,0
1202547,0.4603,0.5357,0.1024,0.0352,1.4077,11.1342,0
1202548,0.4736,0.55,0.1055,0.0365,1.2701,11.1342,0
1202549,0.4725,0.5424,0.11,0.038,1.3486,11.1391,0
1202550,0.4629,0.54,0.1081,0.0354,1.327,11.134,0
1202551,0.4582,0.5392,0.1059,0.0333,1.3131,11.134,0
1202552,0.461,0.5409,0.105,0.0359,1.3571,11.1431,0
1202553,0.4757,0.5435,0.1109,0.0352,1.3886,11.1397,0
1202554,0.4666,0.535,0.1083,0.0355,1.1509,11.1397,0
1202555,0.4664,0.5353,0.1097,0.0359,1.0302,11.1334,0
1202556,0.4725,0.5457,0.1067,0.0367,0.9019,11.1334,0
1202557,0.4621,0.5362,0.1116,0.0365,0.9642,11.1319,0
1202558,0.465,0.5385,0.109,0.0359,1.0125,11.1229,0
1202559,0.4744,0.5389,0.1027,0.0372,1.205,11.1229,0
1202560,0.4722,0.5432,0.1042,0.0376,1.2178,11.1196,0
1202561,0.4685,0.5437,0.1106,0.0342,1.1166,11.1183,0
1202562,0.4605,0.5413,0.1075,0.0362,1.402,11.1183,0
1202563,0.4708,0.5452,0.1071,0.036,1.4845,11.1203,0
1202564,0.4752,0.5449,0.109,0.0342,1.4221,11.1203,0
1202565,0.4611,0.5408,0.1095,0.0363,1.5474,11.1156,0
1202566,0.467,0.5399,0.1097,0.035,1.3542,11.1105,0
1202567,0.466,0.5412,0.1047,0.0374,1.3121,11.1105,0
1202568,0.4684,0.5403,0.1118,0.0352,1.4248,11.1086,0
1202569,0.4656,0.5393,0.1129,0.0371,1.436,11.1103,0
1202570,0.4755,0.5535,0.1065,0.0359,1.3617,11.1103,0
1202571,0.4757,0.5524,0.1087,0.0346,1.2349,11.1106,0
1202572,0.4581,0.5316,0.1123,0.0373,1.2483,11.1106,0
1202573,0.46,0.5345,0.114,0.0348,1.306,11.1076,0
1202574,0.4664,0.5337,0.1117,0.0359,1.1675,11.104,0
1202575,0.477,0.5479,0.1057,0.034,1.204,11.104,0
1202576,0.4644,0.5375,0.1102,0.0358,1.4257,11.1039,0
1202577,0.4635,0.541,0.1076,0.0346,1.2753,11.1006,0
1202578,0.47,0.5473,0.1027,0.0355,1.3745,11.1006,0
1202579,0.4674,0.5354,0.1076,0.0353,1.3947,11.0984,0
1202580,0.4607,0.5405,0.1118,0.0344,0.9869,11.0984,0
1202581,0.4632,0.5465,0.1115,0.0353,0.9537,11.1041,0
1202582,0.4652,0.5437,0.1075,0.035,0.9819,11.1016,0
1202583,0.4657,0.5449,0.105,0.0365,1.068,11.1016,0
1202584,0.4687,0.5402,0.1108,0.0345,1.1808,11.0955,0
1202585,0.4533,0.5376,0.1108,0.0342,1.27,11.0955,0
1202586,0.4699,0.5387,0.1084,0.0374,1.493,11.0921,0
1202587,0.4726,0.5456,0.107,0.0345,1.4143,11.0831,0
1202588,0.4588,0.5363,0.109,0.0352,1.4142,11.0831,0
1202589,0.4659,0.541,0.1074,0.0333,1.3181,11.0805,0
1202590,0.4633,0.5356,0.1066,0.0354,1.1969,11.0817,0
1202591,0.4668,0.5388,0.11,0.0365,1.3311,11.0817,0
1202592,0.4658,0.5304,0.1118,0.0353,1.0363,11.0797,0
1202593,0.4595,0.526,0.1105,0.0346,1.0695,11.0797,0
1202594,0.4654,0.5333,0.1084,0.0341,1.0513,11.0738,0
1202595,0.4734,0.5532,0.1077,0.0349,1.1467,11.0821,0
1202596,0.4586,0.5266,0.1123,0.0343,1.2561,11.0821,0
1202597,0.4604,0.5346,0.1046,0.0345,1.1948,11.0805,0
1202598,0.4718,0.5395,0.1056,0.0338,1.3241,11.0738,0
1202599,0.4724,0.5539,0.111,0.0354,1.2479,11.0738,0
1202600,0.4647,0.5312,0.1105,0.0374,1.2285,11.077,0
1202601,0.4671,0.5371,0.1076,0.0326,1.3171,11.077,0
1202602,0.4711,0.5461,0.1056,0.0379,1.1122,11.0731,0
1202603,0.4672,0.5487,0.1088,0.0351,1.4774,11.0678,0
1202604,0.4692,0.5429,0.114,0.0346,1.2885,11.0678,0
1202605,0.4674,0.5387,0.1072,0.0368,1.3654,11.0659,0
1202606,0.4619,0.5381,0.1063,0.037,1.4312,11.0659,0
1202607,0.4757,0.5506,0.1084,0.0392,1.3832,11.0617,0
1202608,0.4736,0.5476,0.1097,0.0354,1.2604,11.0646,0
1202609,0.4653,0.5359,0.1071,0.0348,1.3063,11.0646,0
1202610,0.4611,0.5373,0.1089,0.0349,1.2831,11.0586,0
1202611,0.4773,0.5539,0.1105,0.0355,1.2475,11.0543,0
1202612,0.4738,0.5497,0.113,0.0343,1.1744,11.0543,0
1202613,0.4585,0.5374,0.1049,0.0375,1.3849,11.0598,0
1202614,0.475,0.5538,0.1061,0.0355,1.7209,11.0598,0
1202615,0.4785,0.5477,0.1097,0.0361,1.5192,11.0551,0
1202616,0.4639,0.5442,0.108,0.0348,1.4183,11.0446,0
1202617,0.476,0.5477,0.1051,0.0335,1.4298,11.0446,0
1202618,0.4814,0.552,0.1042,0.0405,1.3363,11.0409,0
1202619,0.464,0.5348,0.11,0.0362,1.5473,11.0442,0
1202620,0.4566,0.5319,0.111,0.0341,1.7037,11.0442,0
1202621,0.4634,0.5339,0.1046,0.0344,1.5156,11.0439,0
1202622,0.4576,0.5278,0.1043,0.0358,1.5145,11.0439,0
1202623,0.4618,0.5395,0.1088,0.037,1.5675,11.0475,0
1202624,0.4708,0.5472,0.1059,0.036,1.6275,11.0509,0
1202625,0.4618,0.5337,0.1029,0.0378,1.3522,11.0509,0
1202626,0.4562,0.5358,0.1077,0.0352,1.3753,11.0585,0
1202627,0.4607,0.5312,0.1133,0.0357,1.2787,11.0605,0
1202628,0.4718,0.5434,0.1049,0.0371,1.3073,11.0605,0
1202629,0.464,0.5283,0.1047,0.0356,1.2151,11.0619,0
1202630,0.4673,0.5427,0.1088,0.034,1.0912,11.0619,0
1202631,0.4605,0.539,0.1103,0.0376,1.1173,11.0589,0
1202632,0.4632,0.5347,0.1082,0.0352,0.9331,11.0537,0
1202633,0.4615,0.5334,0.1071,0.0363,1.0074,11.0537,0
1202634,0.4644,0.5339,0.1112,0.0363,0.7737,11.0475,0
1202635,0.4698,0.5342,0.1122,0.0351,0.9482,11.0475,0
1202636,0.4713,0.5366,0.1082,0.0362,1.1116,11.0426,0
1202637,0.4699,0.5397,0.1071,0.0351,1.2295,11.041,0
1202638,0.4714,0.5426,0.1093,0.0324,1.3799,11.041,0
1202639,0.4629,0.5358,0.1104,0.036,1.3971,11.0419,0
1202640,0.4586,0.5257,0.1065,0.0366,1.365,11.0407,0
1202641,0.4756,0.5408,0.109,0.0367,1.3883,11.0407,0
1202642,0.4713,0.5411,0.1108,0.0365,1.3791,11.0384,0
1202643,0.4737,0.5337,0.109,0.0355,1.12,11.0384,0
1202644,0.4635,0.5321,0.1056,0.0368,1.2317,11.043,0
1202645,0.4726,0.5407,0.1063,0.0355,1.2379,11.0429,0
1202646,0.4713,0.5407,0.1099,0.0352,1.4172,11.0429,0
1202647,0.4604,0.5346,0.1107,0.0357,1.5352,11.0319,0
1202648,0.4525,0.5256,0.1081,0.0341,1.4558,11.0255,0
1202649,0.4695,0.5412,0.108,0.0341,1.3022,11.0255,0
1202650,0.4753,0.5489,0.1122,0.0346,1.4051,11.0203,0
1202651,0.4616,0.538,0.1067,0.0339,1.3378,11.0203,0
1202652,0.4581,0.5337,0.107,0.0336,1.2212,11.0194,0
1202653,0.4736,0.5422,0.1072,0.035,1.2499,11.019,0
1202654,0.47,0.5449,0.1092,0.034,1.3221,11.019,0
1202655,0.4557,0.527,0.1094,0.036,1.3105,11.0064,0
1202656,0.4589,0.5318,0.1076,0.0339,1.4674,11.0003,0
1202657,0.4693,0.5464,0.1107,0.0364,1.3692,11.0003,0
1202658,0.4729,0.5465,0.1088,0.0361,1.3441,10.9998,0
1202659,0.4645,0.5332,0.1042,0.0363,1.3531,10.9998,0
1202660,0.4502,0.5286,0.1039,0.0349,1.2875,11.0002,0
1202661,0.4664,0.5375,0.1098,0.0369,1.2974,10.9973,0
1202662,0.4646,0.5419,0.1079,0.0343,1.3735,10.9973,0
1202663,0.4586,0.5383,0.1068,0.0356,1.2538,10.9961,0
1202664,0.4557,0.5298,0.1029,0.0334,1.3803,10.9961,0
1202665,0.4654,0.5397,0.1077,0.0364,1.1443,10.988,0
1202666,0.4588,0.5419,0.1098,0.0364,1.2367,10.988,0
1202667,0.464,0.5419,0.1103,0.0382,1.18,10.988,0
1202668,0.4659,0.5366,0.1036,0.0358,1.2045,10.9848,0
1202669,0.4648,0.5348,0.1076,0.0366,1.3015,10.9884,0
1202670,0.4589,0.5306,0.1163,0.0352,1.4457,10.9884,0
1202671,0.4607,0.5402,0.11,0.0361,1.473,10.9932,0
1202672,0.4669,0.5396,0.1067,0.0362,1.3192,10.9932,0
1202673,0.4614,0.531,0.1101,0.0375,1.3208,10.9933,0
1202674,0.4586,0.5377,0.1107,0.0368,1.323,10.9947,0
1202675,0.4643,0.5408,0.1082,0.0358,1.3935,10.9947,0
1202676,0.4704,0.5397,0.1075,0.0362,1.3042,10.9888,0
1202677,0.4645,0.5393,0.1108,0.0367,1.3691,10.9895,0
1202678,0.4563,0.5328,0.1127,0.0355,1.3989,10.9895,0
1202679,0.4655,0.54,0.1056,0.0354,1.4813,10.983,0
1202680,0.4763,0.5474,0.1071,0.0342,1.5499,10.983,0
1202681,0.4712,0.5391,0.1102,0.0372,1.4511,10.9875,0
1202682,0.46,0.5271,0.1067,0.0355,1.5186,10.985,0
1202683,0.458,0.5269,0.1091,0.0338,1.4527,10.985,0
1202684,0.4714,0.5401,0.1093,0.0337,1.3314,10.9754,0
1202685,0.4694,0.5401,0.1142,0.0343,1.3749,10.9782,0
1202686,0.4621,0.5316,0.1091,0.0349,1.302,10.9782,0
1202687,0.4621,0.5283,0.1068,0.0359,1.2426,10.974,0
1202688,0.4669,0.535,0.1073,0.0352,1.2227,10.974,0
1202689,0.4732,0.5429,0.1096,0.0372,1.3439,10.9734,0
1202690,0.4656,0.5331,0.1074,0.0362,1.3776,10.9671,0
1202691,0.4583,0.5333,0.1031,0.0329,1.5065,10.9671,0
1202692,0.4669,0.5412,0.1081,0.0345,1.4082,10.9587,0
1202693,0.4726,0.5423,0.1118,0.0355,1.3678,10.9587,0
1202694,0.4709,0.541,0.1075,0.0325,1.4485,10.9588,0
1202695,0.463,0.5386,0.1068,0.0317,1.3936,10.9591,0
1202696,0.4654,0.5424,0.1118,0.0345,1.3763,10.9591,0
1202697,0.4715,0.5496,0.1123,0.0371,1.3163,10.9546,0
1202698,0.4698,0.5439,0.1083,0.0336,1.3055,10.9523,0
1202699,0.4669,0.5416,0.106,0.0365,1.1851,10.9523,0
1202700,0.4636,0.5387,0.1095,0.0338,1.1944,10.9505,0
1202701,0.4672,0.5518,0.1102,0.0355,1.2533,10.9505,0
1202702,0.4722,0.5472,0.107,0.0367,1.3094,10.9496,0
1202703,0.4715,0.5431,0.1051,0.0347,1.2952,10.9466,0
1202704,0.4666,0.5359,0.1088,0.0361,1.3777,10.9466,0
1202705,0.4653,0.5384,0.1106,0.034,1.3722,10.9452,0
1202706,0.467,0.5513,0.1079,0.0354,1.2587,10.9449,0
1202707,0.4717,0.5434,0.1032,0.0347,1.2357,10.9449,0
1202708,0.4781,0.5489,0.1105,0.0367,1.3789,10.9459,0
1202709,0.4571,0.5376,0.1121,0.0368,1.5108,10.9459,0
1202710,0.4638,0.5322,0.1052,0.0375,1.3444,10.9407,0
1202711,0.4656,0.5465,0.106,0.0357,1.3466,10.9369,0
1202712,0.4771,0.5492,0.1107,0.0376,1.2527,10.9369,0
1202713,0.4551,0.5292,0.1111,0.038,1.2283,10.9352,0
1202714,0.4606,0.5333,0.1073,0.0346,1.0777,10.9328,0
1202715,0.4659,0.5422,0.1061,0.0358,1.227,10.9328,0
1202716,0.4663,0.5525,0.1087,0.0376,1.4273,10.9331,0
1202717,0.4658,0.5437,0.1115,0.0376,1.3795,10.9331,0
1202718,0.475,0.5411,0.104,0.037,1.2389,10.933,0
1202719,0.4613,0.5334,0.1063,0.0359,1.3693,10.9314,0
1202720,0.466,0.5472,0.1131,0.0358,1.2982,10.9314,0
1202721,0.4607,0.5374,0.1093,0.0342,1.102,10.9302,0
1202722,0.4576,0.5363,0.1018,0.037,0.8736,10.9302,0
1202723,0.4639,0.5372,0.1076,0.0379,1.1268,10.9262,0
1202724,0.4681,0.5461,0.111,0.0335,1.1926,10.9258,0
1202725,0.4567,0.5347,0.1104,0.0345,1.3105,10.9258,0
1202726,0.4602,0.5338,0.1088,0.035,1.3128,10.9335,0
1202727,0.4748,0.55,0.1113,0.0338,1.2661,10.9307,0
1202728,0.4678,0.5401,0.106,0.0346,1.3291,10.9307,0
1202729,0.464,0.5365,0.1086,0.0354,1.0564,10.9286,0
1202730,0.462,0.5308,0.1051,0.034,1.0728,10.9286,0
1202731,0.4689,0.5415,0.11,0.0351,1.1364,10.9318,0
1202732,0.4684,0.5397,0.1097,0.0342,1.2359,10.925,0
1202733,0.4585,0.5358,0.1085,0.0338,1.1423,10.925,0
1202734,0.4667,0.5405,0.1063,0.0332,1.1726,10.9222,0
1202735,0.466,0.5455,0.1063,0.0331,1.147,10.9262,0
1202736,0.4621,0.5398,0.1124,0.0355,1.2911,10.9262,0
1202737,0.4556,0.5361,0.1106,0.0345,1.1873,10.9231,0
1202738,0.4711,0.5425,0.1113,0.0342,1.2195,10.9231,0
1202739,0.4682,0.5462,0.1101,0.0348,1.2745,10.9165,0
1202740,0.4631,0.5364,0.1115,0.0333,1.384,10.9181,0
1202741,0.4616,0.5332,0.1106,0.0319,1.3847,10.9181,0
1202742,0.4614,0.5367,0.1102,0.0348,1.3186,10.9139,0
1202743,0.4571,0.537,0.1101,0.0353,1.3675,10.9136,0
1202744,0.4667,0.543,0.1119,0.0332,1.3418,10.9136,0
1202745,0.4584,0.5343,0.1074,0.0356,1.4817,10.9154,0
1202746,0.4644,0.5389,0.1064,0.033,1.3888,10.9154,0
1202747,0.4692,0.5408,0.1109,0.0329,1.3516,10.9178,0
1202748,0.461,0.5377,0.1086,0.0344,1.2472,10.9214,0
1202749,0.4611,0.5378,0.1034,0.0365,1.2247,10.9214,0
1202750,0.4705,0.5506,0.1048,0.035,1.1066,10.9254,0
1202751,0.4746,0.5499,0.1092,0.0358,1.1231,10.9254,0
1202752,0.4664,0.5402,0.1092,0.0354,1.254,10.9269,0
1202753,0.4656,0.5373,0.1076,0.0361,1.0253,10.9248,0
1202754,0.4657,0.5367,0.105,0.0339,1.2021,10.9248,0
1202755,0.4603,0.5423,0.1103,0.0356,1.3358,10.9272,0
1202756,0.4649,0.5343,0.1096,0.0351,1.4517,10.9234,0
1202757,0.4693,0.54,0.1033,0.0343,1.6702,10.9234,0
1202758,0.4721,0.5461,0.1066,0.0375,1.5944,10.9222,0
1202759,0.4623,0.5394,0.1105,0.0342,1.4147,10.9222,0
1202760,0.4517,0.5329,0.1101,0.0338,1.2926,10.9233,0
1202761,0.4638,0.5308,0.1071,0.0331,1.3771,10.9247,0
1202762,0.4744,0.5491,0.1075,0.0331,1.3734,10.9247,0
1202763,0.467,0.5393,0.1133,0.0364,1.3234,10.9224,0
1202764,0.4627,0.538,0.1082,0.0352,1.1522,10.9213,0
1202765,0.4649,0.5371,0.1055,0.0341,0.8992,10.9213,0
1202766,0.4696,0.5449,0.1086,0.033,1.0875,10.92,0
1202767,0.4645,0.5395,0.1084,0.0352,1.1025,10.92,0
1202768,0.46,0.5402,0.1079,0.031,1.0554,10.9241,0
1202769,0.4699,0.542,0.1056,0.0322,1.0385,10.9205,0
1202770,0.4705,0.545,0.1106,0.0331,0.9224,10.9205,0
1202771,0.4641,0.5409,0.1127,0.0341,1.0451,10.9199,0
1202772,0.4629,0.5332,0.1074,0.0331,1.1963,10.9187,0
1202773,0.4606,0.5356,0.1046,0.0345,1.2546,10.9187,0
1202774,0.459,0.5353,0.1113,0.0336,1.384,10.9221,0
1202775,0.4513,0.5344,0.1132,0.0347,1.3629,10.9221,0
1202776,0.4568,0.5314,0.1084,0.0379,1.3858,10.9149,0
1202777,0.4701,0.5386,0.1033,0.0372,1.4112,10.9188,0
1202778,0.469,0.5411,0.1115,0.0327,1.1906,10.9188,0
1202779,0.4483,0.5227,0.1095,0.0334,1.1972,10.9154,0
1202780,0.4555,0.535,0.1084,0.0374,1.3605,10.9154,0
1202781,0.4644,0.5406,0.1084,0.0369,1.4805,10.9147,0
1202782,0.4688,0.5413,0.1102,0.0364,1.5158,10.9004,0
1202783,0.4549,0.5384,0.1111,0.0356,1.3843,10.9004,0
1202784,0.4547,0.5274,0.1056,0.0363,1.3351,10.8998,0
1202785,0.4652,0.5382,0.1059,0.0345,1.0458,10.8982,0
1202786,0.4548,0.5276,0.1129,0.0362,1.1576,10.8982,0
1202787,0.4572,0.5274,0.1105,0.0351,1.2221,10.8976,0
1202788,0.4586,0.5277,0.1056,0.035,1.2908,10.8976,0
1202789,0.4696,0.5436,0.1058,0.0377,1.3277,10.9003,0
1202790,0.466,0.5406,0.1122,0.0344,1.2783,10.8982,0
1202791,0.4596,0.5342,0.1099,0.035,1.1301,10.8982,0
1202792,0.4525,0.535,0.1041,0.0354,1.234,10.9017,0
1202793,0.4695,0.5466,0.1094,0.0349,1.2797,10.9009,0
1202794,0.4514,0.5312,0.1118,0.0361,1.169,10.9009,0
1202795,0.4578,0.5355,0.1085,0.0353,1.2578,10.8976,0
1202796,0.4668,0.5388,0.105,0.0325,1.3337,10.8976,0
1202797,0.4655,0.5388,0.1071,0.0325,1.55,10.8905,0
1202798,0.4649,0.5387,0.1116,0.0354,1.4568,10.8825,0
1202799,0.464,0.5312,0.1094,0.0353,1.3947,10.8825,0
1202800,0.4603,0.5398,0.1051,0.0337,1.3644,10.8852,0
1202801,0.4614,0.5394,0.1115,0.0356,1.3095,10.884,0
1202802,0.4594,0.5359,0.1127,0.0358,1.3973,10.884,0
1202803,0.4667,0.5336,0.1095,0.0326,1.5019,10.8816,0
1202804,0.457,0.5345,0.1084,0.0339,1.474,10.8816,0
1202805,0.4649,0.5361,0.1086,0.0359,1.433,10.8824,0
